City,State,Shape,Duration.in.seconds,Description,Date,Longitude,Latitute,Duration
Conyers,GA,Unknown,3600,Craft Seen Falling And Dissapears Into Thin Air.  ((Nuforc Note:  Missile Launch??  We Have No Explanation For The Aircraft.  Pd)),11/28/2007,33.6675,-84.0177778,3600
Vero Beach,FL,Unknown,30,Shooting Star Without Red Globe Burn-Out Or Descent Maintains Steady Southerly Trajectory.  ((Nuforc Note:  Missile Launch??  Pd)),11/28/2007,27.6383333,-80.3975,30
Jensen Beach,FL,Oval,120,A Oval Shaped Object Hovered And Shot Through The Sky With Very Bright Lights And Then Vanished. 500 Lights On Object0: Yes,11/28/2007,27.2541667,-80.23,120
Houston,TX,Formation,35,Large Boomerang Formation Of Lights Over Houston Beltway 8  Westheimer Moving North To South 10/10/07 9:43 Pm.,11/28/2007,29.7630556,-95.3630556,35
Duluth,MN,Light,600,Bright Pulsating Light Over Lake Superior.,1/21/2008,46.7833333,-92.1063889,600
Fleming,CO,Circle,600,Ufo Spotted Fleming Colorado,11/28/2007,40.68,-102.8388889,600
Grove City,PA,Unknown,3600,Light Pattern Moving Silently Through Rapid Maneuvers Over Grove City,1/21/2008,41.1577778,-80.0888889,3600
Van Alstyne,TX,Other,4,Large Mass Of Tiny Lights All Clustered Together In The Shape Of A Large Boomerang Over Eastern Sky In North Texas.,11/28/2007,33.4213889,-96.5769444,4
Northglenn,CO,Triangle,15,Hovering Triangular Shape Seen With Flashing Lights Seen In Colorado,11/28/2007,39.8855556,-104.9866667,15
North Branch,MN,Light,300,Lights At Night Shining Into Car And Garage And Around Blinds,10/31/2008,45.5113889,-92.98,300
Slingerlands,NY,Circle,240,Huge Moon Size Orange Bright Almost Complete Circle,10/31/2008,42.6291667,-73.865,240
Carlin,NV,Disk,600,Ufo Sighting In Carlin Nv At The Pilot Truck Stop. 500 Lights On Object0: Yes,7/19/2010,40.7138889,-116.1030556,600
Evansville,IN,Formation,600,I Saw A Huge V-Shaped Object Moving Slowly And Silently Over The Roof Tops In My Neighborhood.,10/31/2008,37.9747222,-87.5558333,600
Albany,NY,Oval,45,I Live Colonie New York A Suburb Of Albany.  I Live Within 4 Miles Of The Albany International Airport. Many  Takeoffs And Landings,10/31/2008,42.6525,-73.7566667,45
Fremont,CA,Triangle,60,I Saw A Brightly Lightes V Shaped Ufo While Driving Through Fremontca.,10/31/2008,37.5483333,-121.9875,60
Yuma,AZ,Triangle,900,Carousel In The Sky On Fire / Pixalated Triangle Over Yuma Az,10/10/2011,32.7252778,-114.6236111,900
South Bend,IN,Light,600,Glowing Succession Of Flying Objects On The Horizon.,10/31/2008,41.6833333,-86.25,600
La Crescent,MN,Formation,10,Six Strange Lights In The Sky Over La Crescent Mn,10/31/2008,43.8280556,-91.3038889,10
Philadelphia,PA,Oval,60,Silent Oval Bright White Craft In Yard.,7/4/2012,39.9522222,-75.1641667,60
Seattle,WA,Light,180,Around 8:00 Pm? I Went Out Side And Looked Up At The Stars And I Saw A Light Which I Thought Was A Small Faded Star  Until It Started T,10/31/2008,47.6063889,-122.3308333,180
Pueblo,CO,Light,300,In The Northwest Sky There Were About Seven Lights Moving Slowly And Flashing In And Out If An Extremely Strange Fashion.,10/31/2008,38.2544444,-104.6086111,300
Cincinnati,OH,Oval,900,12 Ovel Objects Flying East To West Orange And Red At A Slow Speed Then Vanished,10/31/2008,39.1619444,-84.4569444,900
San Diego,CA,Disk,30,Low Flying Saucer In Suburban Area.  ((Nuforc Note:  Student Report.  Pd)),10/31/2008,32.7152778,-117.1563889,30
Madison,WI,Circle,20,Tanslucent Orange/Yellow Ufo In Madison Wi,10/31/2008,43.0730556,-89.4011111,20
Coldwater,OH,Sphere,60,Spherical In Shape Orange Flames Coming From The Bottom Completely Silent Moved Fast And Also Hovered.,10/31/2008,40.4797222,-84.6283333,60
Crested Butte,CO,Egg,60,Metallic Egg Shaped Craft Above Crested Butte Co.  Also Have Seen Great Amount Of Activity Read Me,12/12/2009,38.8697222,-106.9872222,60
Tulsa,OK,Unknown,6,Int See Nothing In The Park,12/12/2009,36.1538889,-95.9925,6
Eagar,AZ,Unknown,180,Second Sighting Was Only 150 Feet Away.  Observations Between Two Sightings.,12/12/2011,34.1111111,-109.2908333,180
Suffolk,VA,Unknown,900,It Looked Sort Of Lime Green.  It Appeared To Have An Odd Texture.  It Had A Dimples On Its Surface.  It Was Not Smooth At All.  It Jus,12/12/2009,36.7280556,-76.5838889,900
Anaheim,CA,Light,300,Ufo Over Disneyland.,12/12/2009,33.8352778,-117.9136111,300
Wilmington,NC,Light,600,Two Lights Seen With A Lighting Of Something Strobe Like Near The Ground.,12/12/2009,34.2255556,-77.945,600
Leesburg,VA,Disk,300,Two Large Glowing Amber/Dark Orangish Colored Circular Disks-Not A Sound-,11/21/2010,39.1155556,-77.5638889,300
